kelime,aciklama
Python, Basit sözdizimi ile popüler olan genel amaçlı güçlü bir programlama dilidir.
Java, Taşınabilirliği ve geniş kullanım alanı ile bilinen nesne yönelimli bir programlama dilidir.
C#, Microsoft tarafından geliştirilmiş özellikle masaüstü ve oyun uygulamalarında kullanılan bir dildir.
C++, Performans odaklı uygulamalar geliştirmek için kullanılan güçlü bir programlama dilidir.
Mobile App (Mobil Uygulama), Akıllı telefonlar ve tabletler için geliştirilen uygulamalardır.
Database Administrator (DBA), Veritabanlarının kurulumunu bakımını ve güvenliğini sağlayan kişidir.
Software Engineer, Yazılım ürünlerini tasarlayan geliştiren ve yöneten profesyoneldir.
Version Control (Sürüm Kontrolü), Kod değişikliklerini takip etmek ve yönetmek için kullanılan sistemdir.
Build, Bir yazılım projesinin çalıştırılabilir bir ürüne dönüştürülme işlemidir.
Bit, Bilginin en küçük birimi olup yalnızca 0 ya da 1 değerini alabilir.
Byte, 8 bitlik veri grubudur ve genellikle bir karakteri temsil eder.
Syntax Error, Kodun yazım kurallarına uymaması sonucu oluşan hatadır.
Runtime Error, Program çalışırken meydana gelen hatadır.
Ping, Bir cihazın başka bir cihaza olan bağlantısını test eden basit ağ komutudur.
Bilgisayar, Verileri işleyip saklayabilen elektronik cihazdır.
Yazılım, Bilgisayarlarda çalışan her türlü program ve komutlar bütünüdür.
Donanım, Bilgisayarın fiziksel parçalarıdır (örneğin klavye/ ekran/ anakart).
Programcı, Bilgisayar programlarını yazan kişidir.
Kod, Bilgisayarın anlayabileceği şekilde yazılmış komutlardır.
Uygulama, Belirli bir görevi yerine getirmek için geliştirilen yazılım ürünüdür.
İşletim Sistemi, Bilgisayarın donanımı ile yazılımlar arasında köprü görevi gören temel yazılımdır (örnek/ Windows/ macOS).
Dosya, Bilgisayarda saklanan bilgi veya veri kümesidir.
Klasör, Dosyaları düzenli tutmak için kullanılan sanal "dizin"dir.
Masaüstü, Bilgisayar açıldığında görünen ana ekran alanıdır.
Klavye, Bilgisayara veri girişini sağlayan donanım birimidir.
Fare (Mouse), Bilgisayarda imleci hareket ettirmek için kullanılan giriş cihazıdır.
Ağ (Network), Bilgisayarlar arasında veri alışverişini sağlayan bağlantıdır.
İnternet, Dünya çapında bilgisayar ağlarını birbirine bağlayan sistemdir.
Web Sitesi, İnternet üzerinden erişilebilen bilgi ve hizmet sayfaları topluluğudur.
E-posta, Elektronik ortamda gönderilen dijital mektuptur.
Şifre, Bir kullanıcıyı tanımlamak ve yetkilendirmek için kullanılan gizli kelime veya sayı dizisidir.
Güncelleme, Yazılımların yeni sürümlerle daha iyi ve güvenli hale getirilmesi işlemidir.
Virüs, Bilgisayar sistemlerine zarar vermek amacıyla yazılmış kötü amaçlı yazılımdır.
Yedekleme, Verilerin kaybolmasını önlemek için başka bir alana kopyalanması işlemidir.
API Gateway , Mikro servisleri yöneten API geçidi.
IDE , Entegre geliştirme ortamı.
Debugger , Hata ayıklama aracı.
Compiler , Derleyici; kaynak kodu makine koduna çevirir.
Interpreter , Yorumlayıcı; kodu satır satır çalıştırır.
Refactoring , Kod yapısını değiştirmeden iyileştirme.
Design Pattern , Yazılım tasarımı için tekrar kullanılabilir çözümler.
Singleton , Belirli bir sınıftan tek bir nesne oluşturan tasarım deseni.
Factory Pattern , Nesne yaratımını yöneten tasarım deseni.
Observer Pattern , Gözlemcilerin durum değişikliğini izlediği yapı.
Builder Pattern , Karmaşık nesneleri adım adım oluşturma deseni.
Adapter Pattern , Uyumsuz arayüzleri birbirine uyarlayan yapı.
Interface , Sınıfların uygulaması gereken sözleşme.
Abstract Class , Kısmen tanımlı temel sınıf.
Encapsulation , Veriyi gizleme ve dış müdahaleyi engelleme.
Polymorphism , Çok biçimlilik; nesnelerin farklı şekillerde davranabilmesi.
Inheritance , Kalıtım; bir sınıfın başka bir sınıftan türetilmesi.
Stack , Son giren ilk çıkar (LIFO) veri yapısı.
Queue , İlk giren ilk çıkar (FIFO) veri yapısı.
Linked List , Elemanların düğümlerle birbirine bağlandığı yapı.
Hash Table , Anahtar-değer eşleşmeli veri yapısı.
Tree , Hiyerarşik veri yapısı.
Binary Search Tree , Her düğümün iki çocuğu olan arama ağacı.
Heap , Öncelik sırasına göre veri tutan yapı.
Graph , Düğümler ve kenarlarla ilişkili veri yapısı.
DFS (Depth First Search) , Derinlik öncelikli arama algoritması.
BFS (Breadth First Search) , Genişlik öncelikli arama algoritması.
Big O Notation , Algoritma karmaşıklığını gösteren gösterim.
Recursion , Fonksiyonun kendini çağırması.
Iteration , Döngü kullanarak tekrar yapma..
Middleware , Uygulama katmanları arasında çalışan yazılım.
CLI (Command Line Interface) , Komut satırı arayüzü.
GUI (Graphical User Interface) , Grafiksel kullanıcı arayüzü.
Event Loop , JavaScript’in asenkron görev işleyicisi.
Callback Function , İşlem tamamlandığında çağrılan fonksiyon.
Promise , JavaScript’te asenkron işlemler için yapı.
Async/Await , Asenkron işlemleri senkron gibi yazmayı sağlayan sözdizimi.
Package Manager , Yazılım paketlerini yöneten araç.
Dependency Injection , Bağımlılıkların dışarıdan sağlanması.
Unit Test , Kodun en küçük birimini test etme.
Integration Test , Birlikte çalışan bileşenlerin testi.
End-to-End Test , Uygulamanın tüm sürecini test etme.
Test Coverage , Ne kadar kodun test edildiğini gösteren oran.
Mocking , Testte sahte nesneler kullanmak.
TDD (Test Driven Development) , Önce test yaz sonra kodla.
BDD (Behavior Driven Development) , Davranış odaklı yazılım geliştirme.
Static Typing , Değişken türlerinin önceden tanımlandığı yapı.
Dynamic Typing , Türlerin çalışma zamanında belirlendiği yapı.
Immutable , Değiştirilemez veri yapısı.
Mutable , Değiştirilebilir veri yapısı.
Lambda Function , İsimsiz fonksiyon.
Closure , Fonksiyonun dışındaki değişkenlere erişimi.
Event Handler , Olaylara yanıt veren fonksiyon.
Routing , URL'leri işlemelere yönlendirme.
MVC , Model-View-Controller mimarisi.
MVVM , Model-View-ViewModel mimarisi.
Clean Code , Okunabilir ve sürdürülebilir kod yazımı.
Code Smell , Kötü tasarımı gösteren kod yapıları.
Hotfix , Acil hata düzeltme.
Patch , Küçük yazılım güncellemesi.
Release , Yayına alınan yazılım sürümü.
Versioning , Yazılım sürüm numaralandırması.
Semantic Versioning , Anlamlı sürümleme sistemi.
Rollback , Önceki sürüme geri dönme.
Feature Flag , Özellikleri seçmeli olarak açma.
Code Review , Kodun ekip tarafından incelenmesi.
Pair Programming , İki kişinin birlikte kod yazması.
Codebase , Projeye ait tüm kodların toplamı.
Boilerplate , Şablon olarak kullanılan başlangıç kodu.
Dependency , Başka bir bileşene bağlılık.
Library , Belirli işlevleri içeren kod koleksiyonu.
Framework , Yapı iskeleti sunan geliştirme çatısı.
SDK , Yazılım geliştirme kiti.
API Rate Limit , API çağrısı sınırlandırması.
Throttling , Trafiği sınırlama yöntemi.
Caching , Verilerin geçici olarak saklanması.
Memoization , Fonksiyon sonuçlarını bellekte saklama.
State Management , Uygulama durumunun kontrolü.
Redux , React için durum yönetim kütüphanesi.
Context API , React’te veri paylaşımı.
Service Worker , Web uygulamasında arka planda çalışan betik.
Progressive Web App (PWA) , Web uygulamasının mobil uygulama gibi çalışması.
Responsive Design , Cihaz boyutlarına uyumlu tasarım.
Accessibility (a11y) , Erişilebilir kullanıcı deneyimi.
SEO (Search Engine Optimization) , Arama motoru dostu geliştirme.
Lighthouse , Web performans ölçüm aracı.
Minification , Kodun küçültülmesi.
Webpack , JavaScript modül paketleyici.
Babel , JavaScript derleyicisi.
ESLint , Kod stil denetleyici.
Prettier , Kod biçimlendirici.
Containerization , Yazılımları kapsülleme.
Virtualization , Donanımı yazılımla taklit etme.
Infrastructure as Code (IaC) , Altyapıyı kodla tanımlama.
Ansible , Yapılandırma yönetim aracı.
Terraform , Altyapı otomasyon aracı.
Shell Script , Komut dosyası.
Bash , Unix kabuk dili.
PowerShell , Windows komut dili.
CRON , Zamanlanmış görev aracı.
Scheduler , Görev zamanlayıcı.
Monitoring , Performans takibi.
Logging , Olay kayıtları.
Alerting , Uyarı sistemi.
Syslog , Sistem günlük protokolü.
SSL/TLS , Güvenli iletişim protokolleri.
OAuth , Yetkilendirme protokolü.
OpenID Connect , Kimlik doğrulama protokolü.
Penetration Testing , Güvenlik zafiyet testi.
XSS (Cross-site Scripting) , Web güvenlik açığı.
CSRF , Kimlik sahtekarlığı güvenlik açığı.
SQL Injection , SQL sorgusu üzerinden saldırı.
Zero-day , Bilinmeyen güvenlik açığı.
Exploit , Açıklardan faydalanma yazılımı.
Encryption , Şifreleme işlemi.
Decryption , Şifre çözme.
Hashing , Verileri sabit uzunlukta özetleme.
Checksum , Veri doğrulama kodu.
Salt , Şifre hash işleminde ek güvenlik.
Digital Signature , Elektronik imzalama yöntemi.
Public Key , Açık anahtar.
Private Key , Gizli anahtar.
Key Pair , Açık ve gizli anahtar çifti.
Blockchain , Dağıtık kayıt zinciri.
Smart Contract , Otomatik çalışan blokzincir kodu.
Dockerfile , Docker imajı tanımlama dosyası.
Container Image , Konteynerin çalıştırılabilir hali.
Registry , Konteyner imajlarının saklandığı yer.
Helm , Kubernetes paket yöneticisi.
Pod , Kubernetes’in temel çalıştırma birimi.
Cluster , Birden çok sistemin birleşimi.
Node , Kubernetes içindeki tekil makine.
CI Pipeline , Sürekli entegrasyon iş akışı.
Build Script , Derleme işlemini yöneten komutlar.
Release Note , Yayın açıklamaları.
Issue Tracker , Hata ve görev takibi.
Kanban Board , Görev yönetim panosu.
Sprint , Kısa geliştirme döngüsü.
Product Owner , Ürün sorumlusu.
Scrum Master , Scrum süreçlerini yöneten kişi.
Backlog , Yapılacak işler listesi.
Burndown Chart , Kalan işin zamanla azalışı.
Velocity , Ekip üretkenlik ölçüsü.
Persona , Kullanıcıyı temsil eden kurgusal karakter.
Wireframe , Tasarım iskeleti.
Prototype , Uygulamanın erken modellemesi.
Mockup , Görsel arayüz tasarımı.
Usability Test , Kullanılabilirlik testi.
User Story , Kullanıcı ihtiyacını tanımlayan kısa açıklama.
Acceptance Criteria , Kabul edilme koşulları.
Branch , Kod deposundaki farklı geliştirme hattı.
Merge , Kod dallarını birleştirme.
Pull Request , Kod değişikliğinin gözden geçirilmesi isteği.
Commit , Kod değişikliğini kaydetme.
Fork , Kodun kopyalanarak ayrı geliştirilmesi.
CI Server , Otomatik derleme yapan sunucu.
Artifact , Derleme sonrası oluşan çıktı.
UAT (User Acceptance Testing) , Kullanıcı kabul testi.
Production , Canlı ortam.
Staging , Teste yakın önizleme ortamı.
Sandbox , Deneme ortamı.
Localhost , Yerel makine adresi.
Port , Uygulamalara erişim kapısı.
Proxy Server , Aracı sunucu.
Reverse Proxy , Sunucu taleplerini yönlendiren yapı.
WebSocket , Gerçek zamanlı iletişim protokolü.
Polling , Sürekli veri sorgulama yöntemi.
Event-Driven Architecture , Olay tabanlı yazılım mimarisi.
Stateful , Durum bilgisi taşıyan yapı.
Stateless , Durum taşımayan yapı.
Session , Kullanıcıya özel bağlantı süreci.
Token Expiry , Jetonun geçerlilik süresi.
Multithreading , Çoklu iş parçacığı ile çalışmak.
Concurrency , Eş zamanlı işlem yürütme.
Parallelism , Paralel işlem gerçekleştirme.
Deadlock , Karşılıklı bekleme durumu.
Race Condition , Eşzamanlılık hatası.
Semaphore , Erişim kontrol mekanizması.
Mutex , Tekil kilitleme yöntemi.
Garbage Collection , Kullanılmayan belleğin temizlenmesi.
Memory Leak , Serbest bırakılmayan bellek alanı.
Heap Memory , Dinamik bellek alanı.
Stack Memory , Fonksiyon çağrılarının saklandığı bellek.
Thread Pool , Önceden oluşturulmuş iş parçacıkları grubu.
Daemon , Arka planda çalışan servis.
Service Mesh , Mikro servisler arası iletişimi yöneten yapı.
Chaos Engineering , Dayanıklılığı test etmek için sistemleri bozma yöntemi.
Blue-Green Deployment , Sıfır kesintiyle sürüm geçişi.
Canary Release , Yeni sürümün küçük bir kullanıcı grubuna sunulması.
Rollback Plan , Geri dönüş stratejisi.
Service Level Agreement (SLA) , Hizmet kalitesi anlaşması.
Service Level Objective (SLO) , Hedeflenen hizmet seviyesi.
Uptime , Sistem çalışma süresi.
Latency , Gecikme süresi.
Throughput , Belirli sürede işlenen işlem sayısı.
Scalability , Ölçeklenebilirlik.
Horizontal Scaling , Sunucu sayısını artırma.
Vertical Scaling , Sunucu kaynaklarını artırma.
Failover , Yedek sisteme otomatik geçiş.
High Availability (HA) , Yüksek süreklilik sağlayan sistem tasarımı.
Yorumlayıcı (Interpreter) , Kodları satır satır çalıştıran program.
Derleyici (Compiler) , Kaynak kodu makine diline çeviren araç.
Sürüm Kontrolü (Version Control) , Kod değişikliklerini takip etme sistemi.
Yapılandırma Dosyası (Configuration File) , Uygulama ayarlarını tutan dosya.
Bağımlılık (Dependency) , Bir yazılımın çalışması için gereken diğer yazılımlar.
Çöp Toplayıcı (Garbage Collector) , Kullanılmayan belleği temizleyen sistem.
İş Parçacığı (Thread) , Bir programın bağımsız çalışabilen alt birimi.
Yığın (Stack) , Son giren ilk çıkar veri yapısı.
Kuyruk (Queue) , İlk giren ilk çıkar veri yapısı.
Yinelenebilirlik (Recursion) , Bir fonksiyonun kendini çağırması durumu.
Soyutlama (Abstraction) , Karmaşık sistemleri basitleştirme yöntemi.
Kalıtım (Inheritance) , Bir sınıfın başka bir sınıfın özelliklerini alması.
Çok Biçimlilik (Polymorphism) , Aynı arayüzle farklı işlemler gerçekleştirme yeteneği.
Arayüz (Interface) , Sınıflar arasında iletişimi sağlayan yapı.
Soyut Sınıf (Abstract Class) , Tamamlanmamış sınıf tanımı.
İstisna (Exception) , Programın çalışma sırasında oluşan hatalar.
Hata Ayıklama (Debugging) , Kodlardaki hataları bulma ve düzeltme süreci.
Kod İnceleme (Code Review) , Kodların başkaları tarafından gözden geçirilmesi.
Sürüm (Release) , Yazılımın belirli bir dağıtım versiyonu.
Yama (Patch) , Yazılım hatalarını düzeltmek için yapılan küçük güncellemeler.
Veri Tabanı ve Veri Yönetimi Terimleri
İlişkisel Veri Tabanı (Relational Database) , Verilerin tablolar halinde saklandığı sistem.
Anahtar (Key) , Veri tablosunda benzersiz kayıtları tanımlayan alan.
Yabancı Anahtar (Foreign Key) , Başka bir tabloyla ilişki kuran anahtar.
Sorgu (Query) , Veri tabanından bilgi çekmek için kullanılan komut.
Dizin (Index) , Veri tabanında aramaları hızlandıran yapı.
Normalleştirme (Normalization) , Veri tekrarını azaltmak için yapılan düzenleme.
Denormalizasyon (Denormalization) , Performans için veri tekrarına izin verme işlemi.
Veri Ambarı (Data Warehouse) , Büyük miktarda verinin analiz için saklandığı sistem.
Veri Madenciliği (Data Mining) , Büyük veri setlerinden anlamlı bilgiler çıkarma süreci.
ETL (Extract-Transform-Load) , Veri çekme- dönüştürme ve yükleme işlemleri.
Ağ ve Güvenlik Terimleri
Güvenlik Duvarı (Firewall) , Ağ trafiğini kontrol eden güvenlik sistemi.
Şifreleme (Encryption) , Verileri yetkisiz erişime karşı koruma yöntemi.
Kimlik Doğrulama (Authentication) , Kullanıcının kimliğini doğrulama süreci.
Yetkilendirme (Authorization) , Kullanıcının hangi kaynaklara erişebileceğini belirleme.
Ağ Protokolü (Network Protocol) , Ağ iletişimini düzenleyen kurallar bütünü.
IP Adresi (IP Address) , Cihazların ağdaki benzersiz tanımlayıcısı.
Alt Ağ (Subnet) , Ağın daha küçük parçalara bölünmesi.
VPN (Virtual Private Network) , Güvenli ve özel ağ bağlantısı.
Saldırı Tespiti (Intrusion Detection) , Yetkisiz erişimlerin tespiti.
Saldırı Önleme (Intrusion Prevention) , Yetkisiz erişimlerin engellenmesi.
Yazılım Mühendisliği ve Proje Yönetimi Terimleri
Çevik Yöntem (Agile Methodology) , Esnek ve iteratif yazılım geliştirme yaklaşımı.
Scrum , Çevik yöntemlerin uygulanmasını sağlayan çerçeve.
Sprint , Belirli bir zaman diliminde tamamlanması planlanan görevler bütünü.
Kullanıcı Hikayesi (User Story) , Kullanıcı ihtiyaçlarını tanımlayan kısa açıklamalar.
Görev Panosu (Task Board) , Projelerde görevlerin takibini sağlayan araç.
Gantt Şeması (Gantt Chart) , Proje zaman çizelgesini görselleştiren grafik.
Kritik Yol (Critical Path) , Projedeki en uzun süreli görevler dizisi.
Risk Yönetimi (Risk Management) , Projelerdeki potansiyel sorunların belirlenmesi ve yönetimi.
Paydaş (Stakeholder) , Proje ile ilgisi olan kişi veya gruplar.
Kabul Kriterleri (Acceptance Criteria) , Bir işin tamamlandığını belirleyen ölçütler.
Kullanıcı Arayüzü ve Deneyimi Terimleri
Kullanıcı Arayüzü (User Interface - UI) , Kullanıcının yazılımla etkileşim kurduğu alan.
Kullanıcı Deneyimi (User Experience - UX) , Kullanıcının yazılımı kullanırken edindiği deneyim.
Duyarlı Tasarım (Responsive Design) , Farklı cihazlara uyum sağlayan tasarım.
Tel Kafes (Wireframe) , Arayüzün basit taslak hali.
Prototip , Ürünün işlevsel olmayan ön sürümü.
Kullanılabilirlik (Usability) , Yazılımın ne kadar kolay kullanılabildiği.
Erişilebilirlik (Accessibility) , Yazılımın engelli bireyler tarafından kullanılabilirliği.
Arayüz Bileşeni (UI Component) , Düğme-menü gibi arayüz öğeleri.
Navigasyon , Kullanıcının yazılım içinde gezinme süreci.
Geri Bildirim (Feedback) , Kullanıcının eylemlerine sistemin verdiği yanıt.
Algoritma , Bir problemin çözümü için izlenen adımların sıralı halidir.
Mantıksal Operatör , Mantıksal ifadeleri değerlendirmek için kullanılan sembollerdir (ve- veya- değil gibi).
Koşul İfadesi , Belirli bir koşula göre çalışan kontrol yapısıdır.
Döngü , Belirli işlemleri tekrar eden programlama yapısıdır.
Değişken , Program içinde değer saklayan isimlendirilmiş alanlardır.
Sabit , Değeri sabit olan ve değiştirilemeyen veri yapısıdır.
Tip Dönüşümü , Bir veri tipini başka bir tipe dönüştürme işlemidir.
Fonksiyon , Belirli bir görevi yerine getiren kod bloğudur.
Yordam , Fonksiyon ile benzer anlamda- genelde prosedürel dillerde kullanılır.
Kapsülleme , Veri ve işlemleri bir arada tutan nesne yönelimli programlama ilkesidir.
Yığın (Stack), Son giren ilk çıkar mantığıyla çalışan veri yapısıdır.
Kuyruk (Queue), İlk giren ilk çıkar mantığıyla çalışan veri yapısıdır.
İkili Ağaç (Binary Tree), Her düğümün en fazla iki çocuğu olan ağaç yapısıdır.
Hash Tablosu, Anahtar-değer eşleşmesiyle veri saklayan veri yapısıdır.
Özyineleme (Recursion), Bir fonksiyonun kendini çağırması durumudur.
Derleyici (Compiler), Kaynak kodu makine diline çeviren yazılımdır.
Yorumlayıcı (Interpreter), Kodları satır satır çalıştıran programdır.
Bytecode, Derlenmiş ancak doğrudan çalıştırılamayan ara koddur.
Modül, Belirli işlevler içeren ve başka programlarda kullanılabilen dosyadır.
Paket, İçinde birden fazla modül barındıran yapılandırılmış klasördür.
Sanal Makine (VM), Fiziksel donanım üzerinde çalışan yazılım tabanlı bilgisayardır.
Çekirdek (Kernel), İşletim sisteminin donanımla iletişimini sağlayan çekirdek yazılımdır.
İş Parçacığı (Thread), Bir program içinde aynı anda çalışan alt birimdir.
